Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
2021-01-11 08:59:05,INJUSDT,BUY,4.1704,32.86,137.03934400,0.03286,INJ
2021-01-11 08:53:56,AAVEUSDT,BUY,114.122,1.217,138.88647400,0.001217,AAVE
2021-01-11 08:53:56,ALPHAUSDT,BUY,0.38267,362.8,138.83267600,0.3628,ALPHA
2021-01-11 08:53:56,LTCUPUSDT,BUY,35.78,3.87,138.46860000,0.00387,LTCUP
2021-01-11 08:53:56,EGLDUSDT,BUY,35.769,3.879,138.74795100,0.003879,EGLD
2021-01-11 08:53:55,SUSHIUSDT,BUY,4.095,33.811,138.45604500,0.033811,SUSHI
2021-01-11 08:53:55,DCRUSDT,BUY,52.708,2.613,137.72600400,0.002613,DCR
2021-01-11 08:53:55,TFUELUSDT,BUY,0.0232,1129,26.19280000,0.00049185,BNB
2021-01-11 08:53:55,ETHUPUSDT,BUY,86.994,1.6,139.19040000,0.0016,ETHUP
2021-01-11 08:53:55,TFUELUSDT,BUY,0.0232,3340,77.48800000,0.00145509,BNB
2021-01-11 08:53:55,CVCUSDT,BUY,0.12275,884.8,108.60920000,0.8848,CVC
2021-01-11 08:53:55,BTCUPUSDT,BUY,88.193,1.57,138.46301000,0.00157,BTCUP
2021-01-11 08:53:55,TFUELUSDT,BUY,0.023199,1288,29.88031200,0.00056112,BNB
2021-01-11 08:53:55,CVCUSDT,BUY,0.12274,247.3,30.35360200,0.00057018,BNB
2021-01-11 08:53:55,TFUELUSDT,BUY,0.023137,223,5.15955100,0.00009714,BNB
2021-01-11 08:53:55,ZILUSDT,BUY,0.06491,2136.4,138.67372400,0.00262038,BNB
2021-01-11 08:36:21,ROSEUSDT,SELL,0.04274,1143.9,48.89028600,0.04889029,USDT
2021-01-11 08:36:21,UNFIUSDT,SELL,5.5685,4.78,26.61743000,0.02661743,USDT
2021-01-11 08:36:20,AXSUSDT,SELL,0.5191,38.2,19.82962000,0.01982962,USDT
2021-01-11 08:36:20,DCRUSDT,SELL,52.452,1.252,65.66990400,0.0656699,USDT
2021-01-11 08:36:20,INJUSDT,SELL,4.1766,3.15,13.15629000,0.01315629,USDT
2021-01-11 08:36:20,AXSUSDT,SELL,0.51911,64.3,33.37877300,0.03337877,USDT
2021-01-11 08:36:20,ALPHAUSDT,SELL,0.38347,175.7,67.37567900,0.06737568,USDT
2021-01-11 08:36:20,INJUSDT,SELL,4.178,21.49,89.78522000,0.08978522,USDT
2021-01-11 08:36:20,AAVEUSDT,SELL,113.358,0.327,37.06806600,0.03706807,USDT
2021-01-11 08:36:20,DCRUSDT,SELL,52.508,0.267,14.01963600,0.00026439,BNB
2021-01-11 08:36:20,ALPHAUSDT,SELL,0.38368,58.4,22.40691200,0.02240691,USDT
2021-01-11 08:36:20,AAVEUSDT,SELL,113.359,0.427,48.40429300,0.04840429,USDT
2021-01-11 08:36:20,DCRUSDT,SELL,52.575,0.53,27.86475000,0.02786475,USDT
2021-01-11 08:36:20,ALPHAUSDT,SELL,0.38369,70.7,27.12688300,0.02712688,USDT
2021-01-11 08:36:20,DCRUSDT,SELL,52.589,0.266,13.98867400,0.00026381,BNB
2021-01-11 08:36:20,XEMUSDT,SELL,0.2168,255.46,55.38372800,0.05538373,USDT
2021-01-11 08:36:20,WAVESUSDT,SELL,5.8785,7.06,41.50221000,0.04150221,USDT
2021-01-11 08:36:19,CVCUSDT,SELL,0.12086,110.8,13.39128800,0.00025254,BNB
2021-01-11 08:36:19,CVCUSDT,SELL,0.121,189.7,22.95370000,0.00043288,BNB
2021-01-11 08:36:19,XLMUSDT,SELL,0.2551,361.2,92.14212000,0.09214212,USDT
2021-01-11 08:36:19,CVCUSDT,SELL,0.12103,199.9,24.19389700,0.00045627,BNB
2021-01-11 08:36:19,XRPUSDT,SELL,0.28794,123.6,35.58938400,0.03558938,USDT
2021-01-11 08:36:19,CVCUSDT,SELL,0.12105,143.4,17.35857000,0.00032736,BNB
